Kastelhof;0 0 1.5 0;50
TreeFull;-5 -5 2 0;250
Grass;-32.0 -30.0 4.914385704078305 30; 50
Grass;-32.0 -28.3 4.823930402732582 4; 50
Grass;-32.0 -26.6 4.733475101386859 84; 50
Grass;-32.0 -24.900000000000002 4.643019800041136 136; 50
Grass;-32.0 -23.200000000000003 4.552564498695412 272; 50
Grass;-32.0 -21.500000000000004 4.462109197349689 353; 50
Grass;-32.0 -19.800000000000004 4.371653896003966 114; 50
Grass;-32.0 -18.100000000000005 4.2811985946582425 125; 50
Grass;-32.0 -16.400000000000006 4.1907432933125195 191; 50
Grass;-32.0 -14.700000000000006 4.1002879919667965 123; 50
Grass;-32.0 -13.000000000000007 4.0098326906210735 104; 50
Grass;-32.0 -11.300000000000008 3.9193773892753496 195; 50
Grass;-32.0 -9.600000000000009 3.8289220879296266 128; 50
Grass;-32.0 -7.900000000000009 3.7384667865839036 253; 50
Grass;-32.0 -6.20000000000001 3.64801148523818 322; 50
Grass;-32.0 -4.500000000000011 3.5575561838924568 186; 50
Grass;-32.0 -2.8000000000000114 3.4671008825467338 327; 50
Grass;-32.0 -1.100000000000012 3.3766455812010103 140; 50
Grass;-32.0 0.5999999999999872 3.286190279855287 56; 50
Grass;-32.0 2.299999999999983 3.195734978509564 296; 50
Grass;-32.0 3.999999999999986 3.105279677163841 257; 50
Grass;-32.0 5.699999999999989 3.014824375818117 359; 50
Grass;-32.0 7.399999999999984 2.924369074472394 352; 50
Grass;-32.0 9.09999999999998 2.833913773126671 101; 50
Grass;-32.0 10.799999999999983 2.7434584717809476 98; 50
Grass;-32.0 12.499999999999986 2.653003170435224 273; 50
Grass;-32.0 14.199999999999982 2.562547869089501 197; 50
Grass;-32.0 15.899999999999977 2.472092567743778 340; 50
Grass;-32.0 17.59999999999998 2.3816372663980547 194; 50
Grass;-32.0 19.299999999999983 2.2911819650523313 198; 50
Grass;-32.0 20.99999999999998 2.2007266637066083 260; 50
Grass;-32.0 22.699999999999974 2.1102713623608853 154; 50
Grass;-32.0 24.399999999999977 2.019816061015162 53; 50
Grass;-30.3 -30.0 4.826567769047453 258; 50
Grass;-30.3 -28.3 4.736112467701729 66; 50
Grass;-30.3 -26.6 4.645657166356006 308; 50
Grass;-30.3 -24.900000000000002 4.555201865010283 174; 50
Grass;-30.3 -23.200000000000003 4.46474656366456 47; 50
Grass;-30.3 -21.500000000000004 4.374291262318836 47; 50
Grass;-30.3 -19.800000000000004 4.283835960973113 9; 50
Grass;-30.3 -18.100000000000005 4.19338065962739 246; 50
Grass;-30.3 -16.400000000000006 4.1029253582816665 254; 50
Grass;-30.3 -14.700000000000006 4.0124700569359435 139; 50
Grass;-30.3 -13.000000000000007 3.9220147555902205 308; 50
Grass;-30.3 -11.300000000000008 3.8315594542444975 47; 50
Grass;-30.3 -9.600000000000009 3.7411041528987736 302; 50
Grass;-30.3 -7.900000000000009 3.6506488515530506 141; 50
Grass;-30.3 -6.20000000000001 3.5601935502073276 34; 50
Grass;-30.3 -4.500000000000011 3.469738248861604 191; 50
Grass;-30.3 -2.8000000000000114 3.3792829475158808 338; 50
Grass;-30.3 -1.100000000000012 3.2888276461701578 65; 50
Grass;-30.3 0.5999999999999872 3.1983723448244343 129; 50
Grass;-30.3 2.299999999999983 3.1079170434787113 196; 50
Grass;-30.3 3.999999999999986 3.017461742132988 38; 50
Grass;-30.3 5.699999999999989 2.9270064407872645 15; 50
Grass;-30.3 7.399999999999984 2.836551139441541 52; 50
Grass;-30.3 9.09999999999998 2.746095838095818 281; 50
Grass;-30.3 10.799999999999983 2.655640536750095 242; 50
Grass;-30.3 12.499999999999986 2.565185235404371 267; 50
Grass;-30.3 14.199999999999982 2.474729934058648 95; 50
Grass;-30.3 15.899999999999977 2.384274632712925 316; 50
Grass;-30.3 17.59999999999998 2.2938193313672017 57; 50
Grass;-30.3 19.299999999999983 2.2033640300214783 274; 50
Grass;-30.3 20.99999999999998 2.1129087286757553 348; 50
Grass;-30.3 22.699999999999974 2.0224534273300323 10; 50
Grass;-30.3 24.399999999999977 1.931998125984309 153; 50
Grass;-28.6 -30.0 4.7387498340166 343; 50
Grass;-28.6 -28.3 4.648294532670877 287; 50
Grass;-28.6 -26.6 4.557839231325153 77; 50
Grass;-28.6 -24.900000000000002 4.46738392997943 355; 50
Grass;-28.6 -23.200000000000003 4.376928628633707 159; 50
Grass;-28.6 -21.500000000000004 4.286473327287983 117; 50
Grass;-28.6 -19.800000000000004 4.19601802594226 19; 50
Grass;-28.6 -18.100000000000005 4.105562724596537 253; 50
Grass;-28.6 -16.400000000000006 4.015107423250814 216; 50
Grass;-28.6 -14.700000000000006 3.9246521219050905 72; 50
Grass;-28.6 -13.000000000000007 3.8341968205593675 141; 50
Grass;-28.6 -11.300000000000008 3.7437415192136445 24; 50
Grass;-28.6 -9.600000000000009 3.653286217867921 277; 50
Grass;-28.6 -7.900000000000009 3.5628309165221976 142; 50
Grass;-28.6 -6.20000000000001 3.4723756151764746 121; 50
Grass;-28.6 -4.500000000000011 3.3819203138307516 299; 50
Grass;-28.6 -2.8000000000000114 3.2914650124850278 126; 50
Grass;-28.6 -1.100000000000012 3.2010097111393048 323; 50
Grass;-28.6 0.5999999999999872 3.1105544097935818 255; 50
Grass;-28.6 2.299999999999983 3.020099108447859 288; 50
Grass;-28.6 3.999999999999986 2.929643807102135 101; 50
Grass;-28.6 5.699999999999989 2.839188505756412 295; 50
Grass;-28.6 7.399999999999984 2.748733204410689 247; 50
Grass;-28.6 9.09999999999998 2.6582779030649655 253; 50
Grass;-28.6 10.799999999999983 2.567822601719242 155; 50
Grass;-28.6 12.499999999999986 2.4773673003735186 334; 50
Grass;-28.6 14.199999999999982 2.3869119990277956 358; 50
Grass;-28.6 15.899999999999977 2.2964566976820726 357; 50
Grass;-28.6 17.59999999999998 2.206001396336349 253; 50
Grass;-28.6 19.299999999999983 2.1155460949906257 146; 50
Grass;-28.6 20.99999999999998 2.0250907936449027 11; 50
Grass;-28.6 22.699999999999974 1.9346354922991797 354; 50
Grass;-28.6 24.399999999999977 1.8441801909534563 171; 50
Grass;-26.900000000000002 -30.0 4.650931898985747 153; 50
Grass;-26.900000000000002 -28.3 4.560476597640024 46; 50
Grass;-26.900000000000002 -26.6 4.4700212962943 161; 50
Grass;-26.900000000000002 -24.900000000000002 4.379565994948577 200; 50
Grass;-26.900000000000002 -23.200000000000003 4.289110693602854 23; 50
Grass;-26.900000000000002 -21.500000000000004 4.19865539225713 264; 50
Grass;-26.900000000000002 -19.800000000000004 4.108200090911407 96; 50
Grass;-26.900000000000002 -18.100000000000005 4.017744789565684 264; 50
Grass;-26.900000000000002 -16.400000000000006 3.9272894882199614 2; 50
Grass;-26.900000000000002 -14.700000000000006 3.8368341868742375 235; 50
Grass;-26.900000000000002 -13.000000000000007 3.7463788855285145 339; 50
Grass;-26.900000000000002 -11.300000000000008 3.6559235841827915 174; 50
Grass;-26.900000000000002 -9.600000000000009 3.565468282837068 204; 50
Grass;-26.900000000000002 -7.900000000000009 3.4750129814913446 4; 50
Grass;-26.900000000000002 -6.20000000000001 3.3845576801456216 64; 50
Grass;-26.900000000000002 -4.500000000000011 3.2941023787998986 14; 50
Grass;-26.900000000000002 -2.8000000000000114 3.2036470774541748 215; 50
Grass;-26.900000000000002 -1.100000000000012 3.1131917761084518 6; 50
